source,lemma,lang,score
S,mot,latin,0
G,myrmicéen,grec ancien,1
NS,myrmicéen,grec ancien,1
S,myrmicéen,grec ancien,1
G,nez,,1
NS,nez,indo-européen commun,0
S,nez,indo-européen commun,0
G,nom,,1
NS,nom,indo-européen,0
S,nom,indo-européen,0
G,nord,,1
NS,nord,vieil anglais,0
S,nord,vieil anglais,0
G,nucléé,latin,1
NS,nucléé,latin,1
S,nucléé,latin,1
G,nutrition,latin,1
NS,nutrition,latin,1
S,nutrition,latin,1
G,oblation,latin,1
NS,oblation,latin,1
S,oblation,latin,1
G,oiseau,,1
NS,oiseau,latin,0
S,oiseau,latin,0
G,ordre,,1
NS,ordre,latin,0
S,ordre,latin,0
G,ovoïde,latin,1
NS,ovoïde,Latin,1
S,ovoïde,Latin,1
G,pain,,1
NS,pain,latin,0
S,pain,latin,0
G,pancalisme,grec ancien,1
NS,pancalisme,grec ancien,1
S,pancalisme,grec ancien,1
G,patibulaire,latin,1
NS,patibulaire,latin,1
S,patibulaire,latin,1
G,phrase,,1
NS,phrase,latin,0
S,phrase,latin,0
G,pied,,1
NS,pied,latin,0
S,pied,latin,0
G,pierre,,1
NS,pierre,grec ancien,0
S,pierre,grec ancien,0
G,plage,,1
NS,plage,latin,0
S,plage,latin,0
G,polyadelphe,grec ancien,1
NS,polyadelphe,grec,0.5
S,polyadelphe,grec,0.5
G,pomme,,1
NS,pomme,latin,0
S,pomme,latin,0
G,porte,,1
NS,porte,latin,0
S,porte,latin,0
G,potable,latin,1
NS,potable,latin,1
S,potable,latin,1
G,pétré,latin,1
NS,pétré,latin,1
S,pétré,latin,1
G,rare,,1
NS,rare,latin,0
S,rare,latin,0
G,rupestre,latin,1
NS,rupestre,latin,1
S,rupestre,latin,1
G,région,,1
NS,région,latin,0
S,région,latin,0
G,scolaire,latin,1
NS,scolaire,latin,1
S,scolaire,latin,1
G,sel,,1
NS,sel,latin,0
S,sel,FAIL,0
G,sigillaire,latin,1
NS,sigillaire,latin,1
S,sigillaire,latin,1
G,siège,,1
NS,siège,latin,0
S,siège,latin,0
G,strabisme,grec ancien,1
NS,strabisme,grec ancien,1
S,strabisme,grec ancien,1
G,studieux,latin,1
NS,studieux,latin,1
S,studieux,latin,1
G,sud,,1
NS,sud,vieil anglais,0
S,sud,vieil anglais,0
G,table,,1
NS,table,latin,0
S,table,latin,0
G,tasse,,1
NS,tasse,arabe,0
S,tasse,arabe,0
G,terre,,1
NS,terre,latin,0
S,terre,latin,0
G,thalassique,grec ancien,1
NS,thalassique,latin,0
S,thalassique,latin,0
G,thélite,grec ancien,1
NS,thélite,grec ancien,1
S,thélite,grec ancien,1
G,trousse,,1
NS,trousse,,1
S,trousse,,1
G,vent,,1
NS,vent,latin,0
S,vent,latin,0
G,verbe,,1
NS,verbe,latin,0
S,verbe,latin,0
G,viaire,latin,1
NS,viaire,latin,1
S,viaire,latin,1
G,visible,latin,1
NS,visible,latin,1
S,visible,latin,1
G,école,,1
NS,école,latin,0
S,école,latin,0
G,évier,ancien français,1
NS,évier,latin,0
S,évier,latin,0
