source,lemma,aff,score
G,dent,[],1
NS,dent,['dens'],0
S,dent,['dens'],0
G,divitisme,['-isme'],1
NS,divitisme,['-isme'],1
S,divitisme,['-isme'],1
G,eau,[],1
NS,eau,['aqu-'],0
S,eau,['aqu-'],0
G,essai,[],1
NS,essai,['ex-'],0
S,essai,['ex-'],0
G,fabisme,['-isme'],1
NS,fabisme,['faba'],0
S,fabisme,['faba'],0
G,fauteuil,[],1
NS,fauteuil,['*'],0
S,fauteuil,['*'],0
G,feu,[],1
NS,feu,['foc-'],0
S,feu,['foc-'],0
G,fin,[],1
NS,fin,['fīnis'],0
S,fin,['fīnis'],0
G,foliacé,['-acé'],1
NS,foliacé,['aceus'],0
S,foliacé,['aceus'],0
G,funiculaire,['-aire'],1
NS,funiculaire,['-aire'],1
S,funiculaire,['-aire'],1
G,gibbeux,['-eux'],1
NS,gibbeux,['gibb-'],0
S,gibbeux,['gibb-'],0
G,gigantesque,['-esque'],1
NS,gigantesque,['gigante'],0
S,gigantesque,['gigante'],0
G,gravidisme,['-isme'],1
NS,gravidisme,['-isme'],1
S,gravidisme,['-isme'],1
G,groupe,[],1
NS,groupe,['*kruppa'],0
S,groupe,['*kruppa'],0
G,humain,['-ain'],1
NS,humain,"['-anus', '-o', '-onis', '-inis']",0
S,humain,"['-anus', '-o', '-onis', '-inis']",0
G,igné,['-é'],1
NS,igné,['us'],0
S,igné,['us'],0
G,jour,[],1
NS,jour,['diurnus'],0
S,jour,['diurnus'],0
G,kérosène,['-ène'],1
NS,kérosène,['-ène'],1
S,kérosène,['-ène'],1
G,lactique,['-ique'],1
NS,lactique,['lac'],0
S,lactique,['lac'],0
G,lait,[],1
NS,lait,['lac'],0
S,lait,['lac'],0
G,lectrice,['-rice'],1
NS,lectrice,['lect-'],0
S,lectrice,['lect-'],0
G,ligneux,['-eux'],1
NS,ligneux,,0
S,ligneux,['lign-'],0
G,lire,[],1
NS,lire,['l-'],0
S,lire,['l-'],0
G,locataire,['-aire'],1
NS,locataire,['locatum'],0
S,locataire,['locatum'],0
G,main,[],1
NS,main,['man-'],0
S,main,['man-'],0
G,malachite,['-ite'],1
NS,malachite,['malo-'],0
S,malachite,['malo-'],0
G,manger,[],1
NS,manger,['mand-'],0
S,manger,['mand-'],0
G,marmoréen,['-éen'],1
NS,marmoréen,['marmoreus'],0
S,marmoréen,['marmoreus'],0
G,mer,[],1
NS,mer,[],1
S,mer,[],1
G,mois,[],1
NS,mois,"['m-', 'mes-']",0
S,mois,"['m-', 'mes-']",0
G,mont,[],1
NS,mont,['mons'],0
S,mont,['mons'],0
G,mot,[],1
NS,mot,['mut'],0
S,mot,['mut'],0
G,myrmicéen,['-éen'],1
NS,myrmicéen,['mýrmêx'],0
S,myrmicéen,['mýrmêx'],0
G,nez,[],1
NS,nez,['nas-'],0
S,nez,['nas-'],0
G,nom,[],1
NS,nom,['*gnomen'],0
S,nom,['*gnomen'],0
G,nord,[],1
NS,nord,['*'],0
S,nord,['*'],0
G,nucléé,['-é'],1
NS,nucléé,['nucle-'],0
S,nucléé,['nucle-'],0
G,nutrition,['-ion'],1
NS,nutrition,['nutri-'],0
S,nutrition,['nutri-'],0
G,oblation,['-ion'],1
NS,oblation,['oblatio'],0
S,oblation,['oblatio'],0
G,oiseau,[],1
NS,oiseau,['*'],0
S,oiseau,['*'],0
G,ordre,[],1
NS,ordre,['\\\\r\\\\'],0
S,ordre,['\\\\r\\\\'],0
G,ovoïde,['-oïde'],1
NS,ovoïde,['-oïde'],1
S,ovoïde,['-oïde'],1
G,pain,[],1
NS,pain,['pan-'],0
S,pain,['pan-'],0
G,pancalisme,['-isme'],1
NS,pancalisme,['πάγκ-'],0
S,pancalisme,['πάγκ-'],0
G,patibulaire,['-aire'],1
NS,patibulaire,['patibulum'],0
S,patibulaire,['patibulum'],0
G,phrase,[],1
NS,phrase,['phras-'],0
S,phrase,['phras-'],0
G,pied,[],1
NS,pied,['pi-'],0
S,pied,['pi-'],0
G,pierre,[],1
NS,pierre,"['peddre, pedra, du']",0
S,pierre,"['peddre, pedra, du']",0
G,plage,[],1
NS,plage,['plag-'],0
S,plage,['plag-'],0
G,polyadelphe,['poly-'],1
NS,polyadelphe,['adelphe'],0
S,polyadelphe,['adelphe'],0
G,pomme,[],1
NS,pomme,['poma'],0
S,pomme,['poma'],0
G,porte,[],1
NS,porte,['port-'],0
S,porte,['port-'],0
G,potable,['-able'],1
NS,potable,['pot-'],0
S,potable,['pot-'],0
G,pétré,['-é'],1
NS,pétré,['petraeus'],0
S,pétré,['petraeus'],0
G,rare,[],1
NS,rare,['rārus'],0
S,rare,['rārus'],0
G,rupestre,['-estre'],1
NS,rupestre,['rupes'],0
S,rupestre,['rupes'],0
G,région,[],1
NS,région,['re-'],0
S,région,['re-'],0
G,scolaire,['-aire'],1
NS,scolaire,['scholar-'],0
S,scolaire,['scholar-'],0
G,sel,[],1
NS,sel,['lign-'],0
S,sel,['FAIL'],0
G,sigillaire,['-aire'],1
NS,sigillaire,['sigillum'],0
S,sigillaire,['sigillum'],0
G,siège,[],1
NS,siège,['diminutif'],0
S,siège,['diminutif'],0
G,strabisme,['-isme'],1
NS,strabisme,['strab-'],0
S,strabisme,['strab-'],0
G,studieux,['-ieux'],1
NS,studieux,['-ios-'],0
S,studieux,['-ios-'],0
G,sud,[],1
NS,sud,['s'],0
S,sud,['s'],0
G,table,[],1
NS,table,['tab-'],0
S,table,['tab-'],0
G,tasse,[],1
NS,tasse,['t-'],0
S,tasse,['t-'],0
G,terre,[],1
NS,terre,['terra'],0
S,terre,['terra'],0
G,thalassique,['-ique'],1
NS,thalassique,['thala-'],0
S,thalassique,['thala-'],0
G,thélite,['-ite'],1
NS,thélite,['-ite'],1
S,thélite,['-ite'],1
G,trousse,[],1
NS,trousse,['trous-'],0
S,trousse,['trous-'],0
G,vent,[],1
NS,vent,['vent'],0
S,vent,['vent'],0
G,verbe,[],1
NS,verbe,['*werdʰh₁o-'],0
S,verbe,['*werdʰh₁o-'],0
G,viaire,['-aire'],1
NS,viaire,['et'],0
S,viaire,['et'],0
G,visible,['-ible'],1
NS,visible,['vis-'],0
S,visible,['vis-'],0
G,école,[],1
NS,école,['*'],0
S,école,['*'],0
G,évier,['-ier'],1
NS,évier,['eau'],0
S,évier,['eau'],0
