source,lemma,rad,score
G,feu,,1
NS,feu,feu,0
S,feu,feu,0
G,fin,,1
NS,fin,,1
S,fin,,1
G,foliacé,foli-,1
NS,foliacé,,0
S,foliacé,,0
G,funiculaire,funicul-,1
NS,funiculaire,funicule,0
S,funiculaire,funicule,0
G,gibbeux,gibb-,1
NS,gibbeux,,0
S,gibbeux,,0
G,gigantesque,gigant-,1
NS,gigantesque,gigantes,0.5
S,gigantesque,gigantes,0.5
G,gravidisme,gravid-,1
NS,gravidisme,gravid,1
S,gravidisme,gravid,1
G,groupe,,1
NS,groupe,groupe,0
S,groupe,groupe,0
G,humain,hum-,1
NS,humain,homo,0
S,humain,homo,0
G,igné,ign-,1
NS,igné,igné,0
S,igné,igné,0
G,jour,,1
NS,jour,jour,0
S,jour,jour,0
G,kérosène,kéros-,1
NS,kérosène,kêros,0.5
S,kérosène,kêros,0.5
G,lactique,lact-,1
NS,lactique,lact,1
S,lactique,lact,1
G,lait,,1
NS,lait,lact,0
S,lait,lact,0
G,lectrice,lect-,1
NS,lectrice,lect-,1
S,lectrice,lect-,1
G,ligneux,lign-,1
NS,ligneux,,0
S,ligneux,lign-,1
G,lire,,1
NS,lire,lire,0
S,lire,lire,0
G,locataire,locat-,1
NS,locataire,locat,1
S,locataire,locat,1
G,main,,1
NS,main,main,0
S,main,main,0
G,malachite,malach-,1
NS,malachite,malachite,0
S,malachite,malachite,0
G,manger,,1
NS,manger,manger,0
S,manger,manger,0
G,marmoréen,marmor-,1
NS,marmoréen,,0
S,marmoréen,,0
G,mer,,1
NS,mer,mer,0
S,mer,mer,0
G,mois,,1
NS,mois,mois,0
S,mois,mois,0
G,mont,,1
NS,mont,mont,0
S,mont,mont,0
G,mot,,1
NS,mot,mot,0
S,mot,mot,0
G,myrmicéen,myrmic-,1
NS,myrmicéen,,0
S,myrmicéen,,0
G,nez,,1
NS,nez,nez,0
S,nez,nez,0
G,nom,,1
NS,nom,,1
S,nom,,1
G,nord,,1
NS,nord,nor,0
S,nord,nor,0
G,nucléé,nuclé-,1
NS,nucléé,nuclé-,1
S,nucléé,nuclé-,1
G,nutrition,nutrit-,1
NS,nutrition,nutritio,0
S,nutrition,nutritio,0
G,oblation,oblat-,1
NS,oblation,,0
S,oblation,,0
G,oiseau,,1
NS,oiseau,oiseau,0
S,oiseau,oiseau,0
G,ordre,,1
NS,ordre,ordre,0
S,ordre,ordre,0
G,ovoïde,ov-,1
NS,ovoïde,ovo,0.5
S,ovoïde,ovo,0.5
G,pain,,1
NS,pain,pain,0
S,pain,pain,0
G,pancalisme,pancal-,1
NS,pancalisme,,0
S,pancalisme,,0
G,patibulaire,patibul-,1
NS,patibulaire,,0
S,patibulaire,,0
G,phrase,,1
NS,phrase,phrase,0
S,phrase,phrase,0
G,pied,,1
NS,pied,pied,0
S,pied,pied,0
G,pierre,,1
NS,pierre,pierre,0
S,pierre,pierre,0
G,plage,,1
NS,plage,,1
S,plage,,1
G,polyadelphe,-adelphe,1
NS,polyadelphe,poly-,0
S,polyadelphe,poly-,0
G,pomme,,1
NS,pomme,pomme,0
S,pomme,pomme,0
G,porte,,1
NS,porte,porte,0
S,porte,porte,0
G,potable,pot-,1
NS,potable,pot-,1
S,potable,pot-,1
G,pétré,pétr-,1
NS,pétré,,0
S,pétré,,0
G,rare,,1
NS,rare,,1
S,rare,,1
G,rupestre,rup-,1
NS,rupestre,rup,1
S,rupestre,rup,1
G,région,,1
NS,région,regio,0
S,région,regio,0
G,scolaire,scol-,1
NS,scolaire,schola,0
S,scolaire,schola,0
G,sel,,1
NS,sel,lign-,0
S,sel,FAIL,0
G,sigillaire,sigill-,1
NS,sigillaire,signum,0
S,sigillaire,signum,0
G,siège,,1
NS,siège,sediculum,0
S,siège,sediculum,0
G,strabisme,strab-,1
NS,strabisme,,0
S,strabisme,,0
G,studieux,stud-,1
NS,studieux,stud-,1
S,studieux,stud-,1
G,sud,,1
NS,sud,sud,0
S,sud,sud,0
G,table,,1
NS,table,table,0
S,table,table,0
G,tasse,,1
NS,tasse,طس,0
S,tasse,طس,0
G,terre,,1
NS,terre,terre,0
S,terre,terre,0
G,thalassique,thalass-,1
NS,thalassique,,0
S,thalassique,,0
G,thélite,thél-,1
NS,thélite,thêlē,0
S,thélite,thêlē,0
G,trousse,,1
NS,trousse,trous,0
S,trousse,trous,0
G,vent,,1
NS,vent,,1
S,vent,,1
G,verbe,,1
NS,verbe,,1
S,verbe,,1
G,viaire,vi-,1
NS,viaire,via,0
S,viaire,via,0
G,visible,vis-,1
NS,visible,visible,0
S,visible,visible,0
G,école,,1
NS,école,école,0
S,école,école,0
G,évier,év-,1
NS,évier,évier,0
S,évier,évier,0
