source,lemma,etym_fam,score
G,caséeux,"['caséiforme', 'caséine', 'caséum']",1
NS,caséeux,"['caséiforme', 'caséine', 'caséum', 'caséeux']",0.5
S,caséeux,"['caséiforme', 'caséine', 'caséum', 'caséeux']",0.5
G,chaise,[],1
NS,chaise,"['chaisier', 'chaisière', 'minichaise', 'seize', 'chaise', 'chaisette', 'chaisounette']",0
S,chaise,"['chaisier', 'chaisière', 'minichaise', 'seize', 'chaise', 'chaisette', 'chaisounette']",0
G,chat,[],1
NS,chat,"['anarchat', 'cataire', 'chatricide', 'chataire', 'chatière', 'chatillon', 'chatoiement', 'chaton', 'chatonner', 'chatoyant', 'chatoyer', 'chatron', 'chatte', 'chattement', 'chattemite', 'chattepeleuse', 'chattepelouse', 'chatteplouse', 'chatter', 'chatterie', 'déchatonner', 'enchatonnement', 'enchatonner', 'entrechat', 'greffier', 'Grippeminaud', 'minet', 'mistigri', 'Raminagrobis', 'matou', '🐈', '😸', '😼', '😽', '🙀', 'ailurophile', 'ailurophobe', 'ailurophobie', 'ailourophobie', 'feuler', 'feulement', 'galéphobie', 'miauler', 'miaulement', 'ronronner', 'ronronnement', 'chat', 'chater', 'chattounette', 'Chaminette', 'Chat', 'félin', 'félinité', 'tchat', 'tchate', 'tchater']",0
S,chat,"['anarchat', 'cataire', 'chatricide', 'chataire', 'chatière', 'chatillon', 'chatoiement', 'chaton', 'chatonner', 'chatoyant', 'chatoyer', 'chatron', 'chatte', 'chattement', 'chattemite', 'chattepeleuse', 'chattepelouse', 'chatteplouse', 'chatter', 'chatterie', 'déchatonner', 'enchatonnement', 'enchatonner', 'entrechat', 'greffier', 'Grippeminaud', 'minet', 'mistigri', 'Raminagrobis', 'matou', '🐈', '😸', '😼', '😽', '🙀', 'ailurophile', 'ailurophobe', 'ailurophobie', 'ailourophobie', 'feuler', 'feulement', 'galéphobie', 'miauler', 'miaulement', 'ronronner', 'ronronnement', 'chat', 'chater', 'chattounette', 'Chaminette', 'Chat', 'félin', 'félinité', 'tchat', 'tchate', 'tchater']",0
G,chien,[],1
NS,chien,"['chiennage', 'chiennaille', 'chienne', 'chienner', 'chiennerie', 'chiennesque', 'chienneté', 'chiennetier', 'vespachien', 'vespachienne', 'cabot', 'cagouince', 'chienchien', 'clébard', 'clebs', 'corniaud', 'Fido', 'jaspineur', 'molosse', 'pitou', 'roquet', 'toutou', 'viausse', 'sergent', 'décanisation', 'décaniser', 'canicide', 'canicule', 'canin', 'canine', 'chenet', 'chenil', 'chenille', 'chiendent', 'chiot', 'cynique', 'cynophile', 'cynophilie', '🐕', '🐕🦺', 'aboi', 'aboiement', 'jappement', 'Médor', 'Rex', 'caninerie', 'caninette', 'caninité', 'canisette', 'chien', 'chienerie', 'chiennet', 'cynicitude', 'cynisme', 'Chien']",0
S,chien,"['chiennage', 'chiennaille', 'chienne', 'chienner', 'chiennerie', 'chiennesque', 'chienneté', 'chiennetier', 'vespachien', 'vespachienne', 'cabot', 'cagouince', 'chienchien', 'clébard', 'clebs', 'corniaud', 'Fido', 'jaspineur', 'molosse', 'pitou', 'roquet', 'toutou', 'viausse', 'sergent', 'décanisation', 'décaniser', 'canicide', 'canicule', 'canin', 'canine', 'chenet', 'chenil', 'chenille', 'chiendent', 'chiot', 'cynique', 'cynophile', 'cynophilie', '🐕', '🐕🦺', 'aboi', 'aboiement', 'jappement', 'Médor', 'Rex', 'caninerie', 'caninette', 'caninité', 'canisette', 'chien', 'chienerie', 'chiennet', 'cynicitude', 'cynisme', 'Chien']",0
G,chthonien,"['allochtone', 'autochtone', 'épichthonien']",1
NS,chthonien,"['infernal', 'souterrain', 'tellurique', 'allochtone', 'autochtone', 'épichthonien', 'céleste', 'éolien', 'ouranien', 'chthonien', 'chtonien', 'déterrage', 'déterrement', 'déterrer', 'déterreur', 'déterré', 'tellure', 'tellureux', 'tellurien', 'tellurisme', 'tellurite', 'terrage', 'terrain', 'terrasse', 'terrassement', 'terrasser', 'terrassette', 'terrassier', 'terre', 'terrein', 'terrer', 'terrestre', 'terrestritude', 'terrestrité', 'terreux', 'terrien', 'terrier', 'terrir', 'terrière', 'Terre']",0
S,chthonien,"['infernal', 'souterrain', 'tellurique', 'allochtone', 'autochtone', 'épichthonien', 'céleste', 'éolien', 'ouranien', 'chthonien', 'chtonien', 'déterrage', 'déterrement', 'déterrer', 'déterreur', 'déterré', 'tellure', 'tellureux', 'tellurien', 'tellurisme', 'tellurite', 'terrage', 'terrain', 'terrasse', 'terrassement', 'terrasser', 'terrassette', 'terrassier', 'terre', 'terrein', 'terrer', 'terrestre', 'terrestritude', 'terrestrité', 'terreux', 'terrien', 'terrier', 'terrir', 'terrière', 'Terre']",0
G,ciel,[],1
NS,ciel,"['atmosphère', 'azur', 'cosmos', 'firmament', 'voûte', 'zénith', 'aéronef', 'astre', 'avion', 'comète', 'éclipse', 'étoile', 'lune', 'météo', 'météore', 'nuage', 'ovni', 'phénomène', 'photométéore', 'planète', 'soleil', 'céleste', 'terre', 'sol']",0
S,ciel,"['atmosphère', 'azur', 'cosmos', 'firmament', 'voûte', 'zénith', 'aéronef', 'astre', 'avion', 'comète', 'éclipse', 'étoile', 'lune', 'météo', 'météore', 'nuage', 'ovni', 'phénomène', 'photométéore', 'planète', 'soleil', 'céleste', 'terre', 'sol']",0
G,comestible,"['comestibiliser', 'comestibilité', 'incomestible']",1
NS,comestible,"['comestibiliser', 'comestibilité', 'potable', 'innocuité', 'immangeable', 'incomestible', 'vénéneux', 'toxique', 'comestible', 'géophagisme', 'manducation', 'mangeable', 'mangeage', 'mangement', 'manger', 'mangerie', 'mangeur', 'mangeuse', 'remanger']",0
S,comestible,"['comestibiliser', 'comestibilité', 'potable', 'innocuité', 'immangeable', 'incomestible', 'vénéneux', 'toxique', 'comestible', 'géophagisme', 'manducation', 'mangeable', 'mangeage', 'mangement', 'manger', 'mangerie', 'mangeur', 'mangeuse', 'remanger']",0
G,corps,[],1
NS,corps,"['bicorps', 'corporalité', 'corporatisme', 'corporatiste', 'corporéité', 'monocorps', 'tricorps', 'chasse', 'panse', 'robe', 'cadre', 'corporel', 'corporellement', 'incorporel', 'corporatif', 'corporation', 'corpulent', 'corpulence', 'corpus', 'corpuscule', 'corpusculaire', 'incorporer', 'corsage', 'corset', 'corser', 'anticorps', 'corporisation', 'corporiser', 'corps', 'corselet', 'corsetage', 'corseter', 'corsetier', 'corsé', 'incorporalité', 'métasomatisme', 'somatisation', 'somatiser']",0
S,corps,"['bicorps', 'corporalité', 'corporatisme', 'corporatiste', 'corporéité', 'monocorps', 'tricorps', 'chasse', 'panse', 'robe', 'cadre', 'corporel', 'corporellement', 'incorporel', 'corporatif', 'corporation', 'corpulent', 'corpulence', 'corpus', 'corpuscule', 'corpusculaire', 'incorporer', 'corsage', 'corset', 'corser', 'anticorps', 'corporisation', 'corporiser', 'corps', 'corselet', 'corsetage', 'corseter', 'corsetier', 'corsé', 'incorporalité', 'métasomatisme', 'somatisation', 'somatiser']",0
G,coturnisme,[],1
NS,coturnisme,"['caillage', 'caille', 'caillement', 'cailler', 'cailletage', 'cailleter', 'caillette', 'caillounette', 'caillère', 'caillé']",0
S,coturnisme,"['caillage', 'caille', 'caillement', 'cailler', 'cailletage', 'cailleter', 'caillette', 'caillounette', 'caillère', 'caillé']",0
G,crustacé,"['crustacite', 'crustacéen', 'décrustation', 'décruster']",1
NS,crustacé,"['croûteux', 'croustinette', 'croûte', 'croûtelette', 'croûter', 'crustacite', 'crustacé', 'crustacéen', 'décrouter', 'décroûtage', 'décroûter', 'décrustation', 'décruster', 'désencroûter', 'encroutement', 'encrouter', 'encroûtement', 'encroûter', 'encroûté']",0
S,crustacé,"['croûteux', 'croustinette', 'croûte', 'croûtelette', 'croûter', 'crustacite', 'crustacé', 'crustacéen', 'décrouter', 'décroûtage', 'décroûter', 'décrustation', 'décruster', 'désencroûter', 'encroutement', 'encrouter', 'encroûtement', 'encroûter', 'encroûté']",0
G,céleste,"['célestement', 'célestiser', 'célestité']",1
NS,céleste,"['célestement', 'célestiser', 'astronomie', 'ouranien', 'céleste', 'célestité']",0.5
S,céleste,"['célestement', 'célestiser', 'astronomie', 'ouranien', 'céleste', 'célestité']",0.5
G,céphalaire,"['bi-céphalité', 'bicéphale', 'bicéphalisme', 'céphalien', 'dicéphale', 'monocéphale', 'monocéphalien', 'monocéphalité', 'octocéphale', 'paracéphalien', 'polycéphale', 'acéphale', 'acéphalien']",1
NS,céphalaire,"['bi-céphalité', 'bicéphale', 'bicéphalisme', 'capitainat', 'capitaine', 'capitan', 'capitanat', 'capitane', 'capitat', 'chef', 'chefariat', 'chefecier', 'cheffat', 'chefforat', 'cheftainat', 'cheftaine', 'cheftanat', 'chevecier', 'chevet', 'dicéphale', 'décapitation', 'décapiter', 'entêtant', 'entêtement', 'entêter', 'entêté', 'monocéphale', 'monocéphalien', 'monocéphalité', 'octocéphale', 'paracéphalien', 'polycéphale', 'tête', 'têtier', 'têtière', 'têtu', 'têtusité', 'têtutesse', 'acéphale', 'acéphalien']",0
S,céphalaire,"['bi-céphalité', 'bicéphale', 'bicéphalisme', 'capitainat', 'capitaine', 'capitan', 'capitanat', 'capitane', 'capitat', 'chef', 'chefariat', 'chefecier', 'cheffat', 'chefforat', 'cheftainat', 'cheftaine', 'cheftanat', 'chevecier', 'chevet', 'dicéphale', 'décapitation', 'décapiter', 'entêtant', 'entêtement', 'entêter', 'entêté', 'monocéphale', 'monocéphalien', 'monocéphalité', 'octocéphale', 'paracéphalien', 'polycéphale', 'tête', 'têtier', 'têtière', 'têtu', 'têtusité', 'têtutesse', 'acéphale', 'acéphalien']",0
G,cérémonie,[],1
NS,cérémonie,"['cérémonial', 'cérémoniel', 'cérémonieusement', 'cérémonieux', 'fête', 'rituel', 'liturgie', 'protocole', 'solennité', 'cérémoniaire', 'cérémonialité']",0
S,cérémonie,"['cérémonial', 'cérémoniel', 'cérémonieusement', 'cérémonieux', 'fête', 'rituel', 'liturgie', 'protocole', 'solennité', 'cérémoniaire', 'cérémonialité']",0
G,dent,[],1
NS,dent,"['claquedent', 'dentaire', 'dental', 'denté', 'dentelé', 'denteler', 'dentelle', 'dentelure', 'denter', 'denticule', 'dentier', 'dentifrice', 'dentifère', 'dentiforme', 'dentine', 'dentirostre', 'dentiste', 'dentisterie', 'dentition', 'dentu', 'denture', 'endenter', 'édenté', 'édenter', 'indentation', 'indenter', 'surdent', 'trident', 'chaille', 'chicot', 'crochetir', 'croc', 'quenotte', 'densette', 'dent', 'dentelaire', 'dentelet', 'dentellement', 'dentisme', 'endentement', 'interdentaire', 'Dentinette', 'odontite', 'périodontiste']",0
S,dent,"['claquedent', 'dentaire', 'dental', 'denté', 'dentelé', 'denteler', 'dentelle', 'dentelure', 'denter', 'denticule', 'dentier', 'dentifrice', 'dentifère', 'dentiforme', 'dentine', 'dentirostre', 'dentiste', 'dentisterie', 'dentition', 'dentu', 'denture', 'endenter', 'édenté', 'édenter', 'indentation', 'indenter', 'surdent', 'trident', 'chaille', 'chicot', 'crochetir', 'croc', 'quenotte', 'densette', 'dent', 'dentelaire', 'dentelet', 'dentellement', 'dentisme', 'endentement', 'interdentaire', 'Dentinette', 'odontite', 'périodontiste']",0
G,divitisme,['divitiaire'],1
NS,divitisme,"['paupérisme', 'divitiaire', 'richard', 'riche', 'richesse', 'richissime', 'richissimité']",0
S,divitisme,"['paupérisme', 'divitiaire', 'richard', 'riche', 'richesse', 'richissime', 'richissimité']",0
G,eau,[],1
NS,eau,"['Morteau', 'RESC', 'Verseau', 'Eaubonne', 'agoua', 'flotte', 'baille', 'onde', 'hydrogénol', 'éveux', 'évier', 'gouache', 'déverser', 'submerger', 'aquarien', 'aquette', 'aqueux', 'aquosité', 'déshydratation', 'déshydrater', 'déshydraté', 'eau', 'eautette', 'hydatisme', 'hydraire', 'hydratable', 'hydratant', 'hydratation', 'hydrater', 'hydrateur', 'hydrolien', 'monohydraté', 'réhydratation', 'réhydrater', 'aigaire', 'aiguière']",0
S,eau,"['Morteau', 'RESC', 'Verseau', 'Eaubonne', 'agoua', 'flotte', 'baille', 'onde', 'hydrogénol', 'éveux', 'évier', 'gouache', 'déverser', 'submerger', 'aquarien', 'aquette', 'aqueux', 'aquosité', 'déshydratation', 'déshydrater', 'déshydraté', 'eau', 'eautette', 'hydatisme', 'hydraire', 'hydratable', 'hydratant', 'hydratation', 'hydrater', 'hydrateur', 'hydrolien', 'monohydraté', 'réhydratation', 'réhydrater', 'aigaire', 'aiguière']",0
G,essai,[],1
NS,essai,"['contressai', 'essayer', 'essayage', 'essayiste', 'essai', 'essayement', 'essayette', 'essayeur', 'essayeuse', 'essayisme', 'essayistique', 'ressayage', 'ressayer', 'réessayage', 'réessayer']",0
S,essai,"['contressai', 'essayer', 'essayage', 'essayiste', 'essai', 'essayement', 'essayette', 'essayeur', 'essayeuse', 'essayisme', 'essayistique', 'ressayage', 'ressayer', 'réessayage', 'réessayer']",0
G,fabisme,[],1
NS,fabisme,"['favisme', 'fève', 'fèveraie', 'févette']",0
S,fabisme,"['favisme', 'fève', 'fèveraie', 'févette']",0
G,fauteuil,[],1
NS,fauteuil,['chesterfield'],0
S,fauteuil,['chesterfield'],0
G,feu,[],1
NS,feu,"['feu', 'foyer', 'allumette', 'bic', 'briquet', 'Dieu', 'divinité', 'cuisinière', 'four', 'gazinière', 'poêle', 'plaques', 'réchaud', 'âtre', 'crématoire', 'cheminée', 'pyrée', 'maison', 'éclairage', 'lumière', 'spot', 'sémaphore', 'phare', 'éclat', 'scintillement', 'splendeur', 'fire', 'amour', 'folie', 'pistolet', 'pétard', 'début', 'départ', 'start', '🔥', '🚥', '🚦', 'carburant', 'combustible', 'extincteur', 'igné', 'afféage', 'afféagement', 'afféager', 'bifocal', 'bifocalité', 'défocalisation', 'défocaliser', 'feu', 'feutier', 'focal', 'focalisable', 'focalisation', 'focaliser', 'focaliseur', 'focalité']",0
S,feu,"['feu', 'foyer', 'allumette', 'bic', 'briquet', 'Dieu', 'divinité', 'cuisinière', 'four', 'gazinière', 'poêle', 'plaques', 'réchaud', 'âtre', 'crématoire', 'cheminée', 'pyrée', 'maison', 'éclairage', 'lumière', 'spot', 'sémaphore', 'phare', 'éclat', 'scintillement', 'splendeur', 'fire', 'amour', 'folie', 'pistolet', 'pétard', 'début', 'départ', 'start', '🔥', '🚥', '🚦', 'carburant', 'combustible', 'extincteur', 'igné', 'afféage', 'afféagement', 'afféager', 'bifocal', 'bifocalité', 'défocalisation', 'défocaliser', 'feu', 'feutier', 'focal', 'focalisable', 'focalisation', 'focaliser', 'focaliseur', 'focalité']",0
G,fin,[],1
NS,fin,"['confinement', 'confiner', 'confins', 'définir', 'définition', 'final', 'finalement', 'finalisation', 'finaliser', 'finalisme', 'finaliste', 'finalité', 'finance', 'financer', 'financement', 'financier', 'fini', 'finir', 'finissage', 'finissant', 'finisseur', 'finisseuse', 'finissure', 'finition', 'finitude', 'infini', 'infinité', 'demi-fini', 'fin', 'finale', 'finalitaire', 'finissement', 'finitif', 'finitisme', 'finitiste', 'finité', 'infiniste', 'infinitaire', 'infinitisme', 'infinitiste', 'infinitude', 'infinitéisme', 'semi-fini', 'semifini']",0
S,fin,"['confinement', 'confiner', 'confins', 'définir', 'définition', 'final', 'finalement', 'finalisation', 'finaliser', 'finalisme', 'finaliste', 'finalité', 'finance', 'financer', 'financement', 'financier', 'fini', 'finir', 'finissage', 'finissant', 'finisseur', 'finisseuse', 'finissure', 'finition', 'finitude', 'infini', 'infinité', 'demi-fini', 'fin', 'finale', 'finalitaire', 'finissement', 'finitif', 'finitisme', 'finitiste', 'finité', 'infiniste', 'infinitaire', 'infinitisme', 'infinitiste', 'infinitude', 'infinitéisme', 'semi-fini', 'semifini']",0
G,foliacé,"['foliesque', 'folliforme', 'défoliation', 'défolier', 'foliaire', 'folié', 'quadrifolié', 'unifolié']",1
NS,foliacé,"['foliesque', 'folliforme', 'défeuillage', 'défeuillaison', 'défeuillement', 'défeuiller', 'défoliation', 'défolier', 'enfeuiller', 'feuillage', 'feuillagiste', 'feuillaison', 'feuille', 'feuiller', 'feuilleret', 'feuillet', 'feuilletage', 'feuilletement', 'feuilleter', 'feuilleteur', 'feuillette', 'feuilleté', 'feuilliste', 'feuillu', 'feuillère']",0
S,foliacé,"['foliesque', 'folliforme', 'défeuillage', 'défeuillaison', 'défeuillement', 'défeuiller', 'défoliation', 'défolier', 'enfeuiller', 'feuillage', 'feuillagiste', 'feuillaison', 'feuille', 'feuiller', 'feuilleret', 'feuillet', 'feuilletage', 'feuilletement', 'feuilleter', 'feuilleteur', 'feuillette', 'feuilleté', 'feuilliste', 'feuillu', 'feuillère']",0
G,funiculaire,[],1
NS,funiculaire,"['cordage', 'cordaginet', 'corde', 'cordeler', 'cordelet', 'cordelette', 'cordelier', 'cordelière', 'cordelle', 'corder', 'cordette', 'cordier', 'cordiste', 'cordite', 'cordounette', 'cordé', 'décordage', 'décordement', 'décorder', 'désaccord', 'désaccordage', 'désaccordement', 'désaccorder', 'encordage', 'encordement', 'encorder', 'encordé', 'funiculaire', 'inaccordable', 'monocorde', 'monocordité', 'raccord', 'raccordement', 'raccorder', 'recordage', 'recordation', 'recordement', 'recorder', 'recordé', 'accord', 'accordabilité', 'accordable', 'accordage', 'accordement', 'accorder', 'accordeur', 'accordique']",0
S,funiculaire,"['cordage', 'cordaginet', 'corde', 'cordeler', 'cordelet', 'cordelette', 'cordelier', 'cordelière', 'cordelle', 'corder', 'cordette', 'cordier', 'cordiste', 'cordite', 'cordounette', 'cordé', 'décordage', 'décordement', 'décorder', 'désaccord', 'désaccordage', 'désaccordement', 'désaccorder', 'encordage', 'encordement', 'encorder', 'encordé', 'funiculaire', 'inaccordable', 'monocorde', 'monocordité', 'raccord', 'raccordement', 'raccorder', 'recordage', 'recordation', 'recordement', 'recorder', 'recordé', 'accord', 'accordabilité', 'accordable', 'accordage', 'accordement', 'accorder', 'accordeur', 'accordique']",0
G,gibbeux,['gibbosité'],1
NS,gibbeux,"['Bossette', 'bossage', 'bossariat', 'bosse', 'bosselage', 'bosselette', 'bossellement', 'bosselure', 'bosselé', 'bosser', 'bossetier', 'bossette', 'bosseur', 'bosseuse', 'bosseux', 'bossier', 'bossinette', 'bossu', 'bossèlement', 'débosselage', 'débosseler', 'embossage', 'embosser', 'gibbeux', 'gibbosité']",0
S,gibbeux,"['Bossette', 'bossage', 'bossariat', 'bosse', 'bosselage', 'bosselette', 'bossellement', 'bosselure', 'bosselé', 'bosser', 'bossetier', 'bossette', 'bosseur', 'bosseuse', 'bosseux', 'bossier', 'bossinette', 'bossu', 'bossèlement', 'débosselage', 'débosseler', 'embossage', 'embosser', 'gibbeux', 'gibbosité']",0
G,gigantesque,"['gigantesquement', 'gigantesquerie', 'gigantisme']",1
NS,gigantesque,"['gigantesquement', 'gigantesquerie', 'gigantisme', 'géant', 'géanterie', 'géantise', 'géantisme', 'géantitude']",0
S,gigantesque,"['gigantesquement', 'gigantesquerie', 'gigantisme', 'géant', 'géanterie', 'géantise', 'géantisme', 'géantitude']",0
G,gravidisme,[],1
NS,gravidisme,"['ceindre', 'ceint', 'déceindre', 'enceindre', 'enceinte']",0
S,gravidisme,"['ceindre', 'ceint', 'déceindre', 'enceindre', 'enceinte']",0
G,groupe,[],1
NS,groupe,"['dégroupement', 'dégrouper', 'groupage', 'groupal', 'groupalement', 'groupé', 'grouper', 'groupement', 'groupeur', 'groupie', 'groupisme', 'groupiste', 'groupoïde', 'groupusculaire', 'groupuscule', 'intragroupe', 'ensemble', 'florilège', 'ribambelle', 'procession', 'troupe', 'dégroupage', 'groupalité', 'regroupage', 'regroupement', 'regrouper']",0
S,groupe,"['dégroupement', 'dégrouper', 'groupage', 'groupal', 'groupalement', 'groupé', 'grouper', 'groupement', 'groupeur', 'groupie', 'groupisme', 'groupiste', 'groupoïde', 'groupusculaire', 'groupuscule', 'intragroupe', 'ensemble', 'florilège', 'ribambelle', 'procession', 'troupe', 'dégroupage', 'groupalité', 'regroupage', 'regroupement', 'regrouper']",0
G,humain,"['humainement', 'humaniser', 'humanisme', 'humanure', 'inhumain', 'interhumain', 'suprahumain', 'surhumain', 'transhumanisme', 'transhumaniste', 'anti-humaniste', 'anti-humanisterie', 'antihumanisme', 'antihumaniste', 'déshumanisant', 'déshumanisation', 'déshumaniser', 'humainerie', 'humane', 'humanisable', 'humanisation', 'humaniser', 'humanisme', 'humaniste', 'humanisterie', 'humanistique', 'humanitaire', 'humanitairerie', 'humanitarisme', 'humanitariste', 'humanitisme', 'humanité', 'inhumain', 'inhumanité']",1
NS,humain,"['humainement', 'humaniser', 'humanisme', 'humanités', 'humanure', 'inhumain', 'interhumain', 'suprahumain', 'surhumain', 'transhumanisme', 'transhumaniste', 'anthropien', 'anti-humaniste', 'anti-humanisterie', 'antihumanisme', 'antihumaniste', 'démasculinisation', 'démasculiniser', 'déshumanisant', 'déshumanisation', 'déshumaniser', 'dévirilisation', 'déviriliser', 'hominien', 'hominisation', 'hominiser', 'hominisme', 'hoministe', 'hommasse', 'hommassité', 'homme', 'hommelet', 'hommelette', 'hommette', 'masculin', 'masculinisation', 'masculiniser', 'masculinisme', 'masculiniste', 'masculinité', 'masculisme', 'viril', 'virilerie', 'virilisation', 'viriliser', 'virilisme', 'virilité', 'Homme']",0
