lemma,cat,def,etym,étymologie étendue,déclinaison,fam,proc,aff,rad,etym_mean,lang,base,etym_fam
ciel,Nom commun 1,['Espace immense dans lequel se meuvent tous les astres.'],"['Du latin caelum, de même sens.']","[['Selon Julius Pokorny, de l’indo-européen commun *(s)kai (« brillant »)\u202f^([1]). Comparez, en grec ancien αἰθήρ, aithḗr (« ciel, éther ») et αἴθαλος, aíthalos (« étincelle »).'], ['Crase de *caed-ulumdérivé de caedo (« couper »), avec le suffixe -ulum.'], 'Ciel, voûte des cieux.']","[{'form': 'caela', 'tags': ['plural', 'nominative']}, {'form': 'caela', 'tags': ['plural', 'vocative']}, {'form': 'caela', 'tags': ['plural', 'accusative']}, {'form': 'caelī', 'tags': ['singular', 'genitive']}, {'form': 'caelōrum', 'tags': ['plural', 'genitive']}, {'form': 'caelō', 'tags': ['singular', 'dative']}, {'form': 'caelīs', 'tags': ['plural', 'dative']}, {'form': 'caelō', 'tags': ['singular', 'ablative']}, {'form': 'caelīs', 'tags': ['plural', 'ablative']}, {'form': 'cael'}, {'form': 'caelus'}, {'form': 'coelum'}, {'form': 'cœlum'}, {'form': 'cælum'}]","['atmosphère', 'azur', 'cosmos', 'firmament', 'voûte', 'zénith', 'aéronef', 'astre', 'avion', 'comète', 'éclipse', 'étoile', 'lune', 'météo', 'météore', 'nuage', 'ovni', 'phénomène', 'photométéore', 'planète', 'soleil', 'céleste', 'terre', 'sol', 'ciel', 'célestité']",['Crase'],['caed-ulum'],caed-,"[['*caed-', 'Couper'], [""s'kai"", 'Brillant']]",Latin,caed-,"['atmosphère', 'azur', 'cosmos', 'firmament', 'voûte', 'zénith', 'aéronef', 'astre', 'avion', 'comète', 'éclipse', 'étoile', 'lune', 'météo', 'météore', 'nuage', 'ovni', 'phénomène', 'photométéore', 'planète', 'soleil', 'céleste', 'terre', 'sol', 'ciel', 'célestité']"
gibbeux,Adjectif,"['Qui est proéminent, en forme de bosse.']",['Du latin gibbosus (« bossu »).'],[],[],"['Bossette', 'bossage', 'bossariat', 'bosse', 'bosselage', 'bosseler', 'bosselette', 'bossellement', 'bosselure', 'bosselé', 'bosser', 'bossetier', 'bossette', 'bosseur', 'bosseuse', 'bosseux', 'bossier', 'bossinette', 'bossu', 'bossèlement', 'débosselage', 'débosseler', 'embossage', 'embosser', 'gibbeux', 'gibbosité']",[],['gib-'],gibbeux,[],latin,gibbosus,"['Bossette', 'bossage', 'bossariat', 'bosse', 'bosselage', 'bosselette', 'bossellement', 'bosselure', 'bosselé', 'bosser', 'bossetier', 'bossette', 'bosseur', 'bosseuse', 'bosseux', 'bossier', 'bossinette', 'bossu', 'bossèlement', 'débosselage', 'débosseler', 'embossage', 'embosser', 'gibbeux', 'gibbosité']"
cérémonie,Nom commun,"['Ensemble des formes extérieures et régulières du culte religieux, des célébrations mystiques.']","['Du latin caeremonia (« cérémonie religieuse », « rite »).']",['Variante de caerĭmōnĭa.'],"[{'form': 'caeremoniă', 'tags': ['singular', 'nominative']}, {'form': 'caeremoniae', 'tags': ['plural', 'nominative']}, {'form': 'caeremoniă', 'tags': ['singular', 'vocative']}, {'form': 'caeremoniae', 'tags': ['plural', 'vocative']}, {'form': 'caeremoniăm', 'tags': ['singular', 'accusative']}, {'form': 'caeremoniās', 'tags': ['plural', 'accusative']}, {'form': 'caeremoniae', 'tags': ['singular', 'genitive']}, {'form': 'caeremoniārŭm', 'tags': ['plural', 'genitive']}, {'form': 'caeremoniae', 'tags': ['singular', 'dative']}, {'form': 'caeremoniīs', 'tags': ['plural', 'dative']}, {'form': 'caeremoniā', 'tags': ['singular', 'ablative']}, {'form': 'caeremoniīs', 'tags': ['plural', 'ablative']}]","['cérémonial', 'cérémoniel', 'cérémonieusement', 'cérémonieux', 'fête', 'rituel', 'liturgie', 'protocole', 'solennité', 'cérémoniaire', 'cérémonialité', 'cérémonie', 'sarimonie']",[],['caer-'],cérémonia,"[['caerĭmōnĭa', 'cérémonie religieuse, rite'], ['caerĭmōnĭa', 'variante de caerĭmōnĭa']]",latin,cérémonie,"['cérémonial', 'cérémoniel', 'cérémonieusement', 'cérémonieux', 'fête', 'rituel', 'liturgie', 'protocole', 'solennité', 'cérémoniaire', 'cérémonialité']"
porte,Nom commun,['Ouverture battante dans un mur qui permet d’entrer ou sortir d’un endroit.'],"['Du latin porta (« porte d’une ville, d’un monument »), qui supplanta les mots fores et janua.']","[['Apparenté à portare (« transporter ») et portus (« port »), de la racine per (« à travers ») dont est issu le grec πόρος, poros (« passage ») ; le sens étymologique est « passage ».'], 'Ouverture, issue.']","[{'form': 'portă', 'tags': ['singular', 'nominative']}, {'form': 'portae', 'tags': ['plural', 'nominative']}, {'form': 'portă', 'tags': ['singular', 'vocative']}, {'form': 'portae', 'tags': ['plural', 'vocative']}, {'form': 'portăm', 'tags': ['singular', 'accusative']}, {'form': 'portās', 'tags': ['plural', 'accusative']}, {'form': 'portae', 'tags': ['singular', 'genitive']}, {'form': 'portārŭm', 'tags': ['plural', 'genitive']}, {'form': 'portae', 'tags': ['singular', 'dative']}, {'form': 'portīs', 'tags': ['plural', 'dative']}, {'form': 'portā', 'tags': ['singular', 'ablative']}, {'form': 'portīs', 'tags': ['plural', 'ablative']}]","['Delaporte', 'portail', 'Porte', 'PMT', 'porterie', 'portier', 'portière', 'portillon', 'lourde', 'chambranle', 'dormant', 'gond', 'heurtoir', 'imposte', 'linteau', 'poignée', 'porche', 'poterne', 'tympan', 'vantail', 'apport', 'apporter', 'apporteur', 'apporteuse', 'céroféraire', 'emport', 'emportement', 'emporter', 'emporté', 'import', 'importable', 'important', 'importateur', 'importation', 'importatrice', 'importer', 'importeur', 'importé', 'intransportable', 'ostiariat', 'port', 'portabilité', 'portable', 'portage', 'portager', 'portal', 'portant', 'portatif', 'porte', 'portelette', 'portement', 'porter', 'portette', 'porteur', 'porteuse', 'portinette', 'portion', 'portionnaire', 'portionniste', 'portiorat', 'portuaire', 'portuarité', 'portulan', 'porté', 'portée', 'rapport', 'rapportable', 'rapportage', 'rapporter', 'rapporteur', 'rapporteuse', 'rapporté', 'remporter', 'report', 'reportage', 'reportement', 'reporter', 'reporteur', 'réimport', 'réimportation', 'réimporter', 'thuriféraire', 'thuriférariat', 'transport', 'transportable', 'transportation', 'transporter', 'transporteur']",[],['port-'],porte,"[['porta', 'porte d’une ville, d’un monument'], ['per', 'à travers'], ['poros', 'passage']]",latin,porte,"['Delaporte', 'portail', 'Porte', 'PMT', 'porterie', 'portier', 'portière', 'portillon', 'lourde', 'chambranle', 'dormant', 'gond', 'heurtoir', 'imposte', 'linteau', 'poignée', 'porche', 'poterne', 'tympan', 'vantail', 'apport', 'apporter', 'apporteur', 'apporteuse', 'céroféraire', 'emport', 'emportement', 'emporter', 'emporté', 'import', 'importable', 'important', 'importateur', 'importation', 'importatrice', 'importer', 'importeur', 'importé', 'intransportable', 'ostiariat', 'port', 'portabilité', 'portable', 'portage', 'portager', 'portal', 'portant', 'portatif', 'porte', 'portelette', 'portement', 'porter', 'portette', 'porteur', 'porteuse', 'portinette', 'portion', 'portionnaire', 'portionniste', 'portiorat', 'portuaire', 'portuarité', 'portulan', 'porté', 'portée', 'rapport', 'rapportable', 'rapportage', 'rapporter', 'rapporteur', 'rapporteuse', 'rapporté', 'remporter', 'report', 'reportage', 'reportement', 'reporter', 'reporteur', 'réimport', 'réimportation', 'réimporter', 'thuriféraire', 'thuriférariat', 'transport', 'transportable', 'transportation', 'transporter', 'transporteur']"
bibition,Nom commun,['Action de boire.'],['bas latin bibitio (« même sens »)'],[],[],"['bibition', 'boire', 'bu', 'buvable', 'buvard', 'buvetier', 'buvette', 'buveur', 'buveuse', 'emboire', 'embuvage', 'imbuvable', 'impotable', 'potabilité', 'potable', 'potion', 'reboire']",[],['bib-'],bib,[],bas latin,bib,"['boire', 'bu', 'buvable', 'buvard', 'buvetier', 'buvette', 'buveur', 'buveuse', 'emboire', 'embuvage', 'imbuvable', 'impotable', 'potabilité', 'potable', 'potion', 'reboire']"
essai,Nom commun,"['Test, examen, épreuve de solidité, de pérennité, d’adéquation.']","['Issu du bas latin exagium, de exigere (« juger, examiner, peser ») dont dérive aussi examen.']",[],[],"['contressai', 'essayer', 'essayage', 'essayiste', 'essai', 'essayement', 'essayette', 'essayeur', 'essayeuse', 'essayisme', 'essayistique', 'ressayage', 'ressayer', 'réessayage', 'réessayer']",['Issu'],['exagium'],essai,"[{'étymon': 'exagium', 'sens': 'juger, examiner, peser'}, {'étymon': 'exigere', 'sens': 'juger, examiner'}]",latin,essai,"['contressai', 'essayer', 'essayage', 'essayiste', 'essai', 'essayement', 'essayette', 'essayeur', 'essayeuse', 'essayisme', 'essayistique', 'ressayage', 'ressayer', 'réessayage', 'réessayer']"
malachite,Nom commun,"['Espèce minérale du groupe des carbonates et du sous-groupe des carbonates anhydres avec anions étrangers de formule Cu₂(CO₃)(OH)₂, susceptible de recevoir un beau poli et employée pour la fabrication d’objets d’ornement.']",['Du latin molochites qui donne melochite au XIIᵉ siècle avec rapprochement de malache (« mauve »).'],"[['Du grec ancien μολοχίτης, molokhitês.'], 'Pierre précieuse.']","[{'form': 'molochitēs', 'tags': ['singular', 'nominative']}, {'form': 'molochitae', 'tags': ['plural', 'nominative']}, {'form': 'molochitē', 'tags': ['singular', 'vocative']}, {'form': 'molochitae', 'tags': ['plural', 'vocative']}, {'form': 'molochitēn', 'tags': ['singular', 'accusative']}, {'form': 'molochitās', 'tags': ['plural', 'accusative']}, {'form': 'molochitae', 'tags': ['singular', 'genitive']}, {'form': 'molochitārum', 'tags': ['plural', 'genitive']}, {'form': 'molochitae', 'tags': ['singular', 'dative']}, {'form': 'molochitīs', 'tags': ['plural', 'dative']}, {'form': 'molochitē', 'tags': ['singular', 'ablative']}, {'form': 'molochitīs', 'tags': ['plural', 'ablative']}, {'form': 'molochitis'}]","['malachite', 'mauve', 'mauvette']",[],"['molo-', 'mal-']",mal,"[['molochitēs', 'pierre précieuse'], ['μολοχίτης', 'pierre précieuse']]",grec,mal,"['malachite', 'mauve', 'mauvette']"
sud,Nom commun,['Point cardinal opposé au nord ; direction du pôle de l’hémisphère austral et correspondant à l’azimut 180°.'],"['Du vieil anglais suþ, de même sens. suth (Gaimar).']",[],[],"['sudisme', 'sudiste', 'austro', 'méridien', 'midi', 'miéjour', 'nord', 'sud', 'sudette', 'Notre-Dame-du-Lac-Saint-Jean-Partie-Sud']",[],['sud'],,[],vieil anglais,suþ,"['sudisme', 'sudiste', 'austro', 'méridien', 'midi', 'miéjour', 'nord', 'sud', 'sudette', 'Notre-Dame-du-Lac-Saint-Jean-Partie-Sud']"
nez,Nom commun,['Partie saillante du visage entre la bouche et le front couvrant l’organe communiquant avec les poumons permettant de sentir et de respirer.'],"['Du moyen français nez, de l’ancien français nes (Chanson de Roland), du latin nasus (même sens). Plus avant, de l’indo-européen commun *nas- dont sont issus l’anglais nose, l’allemand Nase, le tchèque ou le polonais nos, le russe нос nos, le lituanien nosis, le sanskrit नासिका, nāsikā.', ""(L'orthographe nez est notamment utilisée pour parler de saignées)""]","[['De l’indo-européen commun *néh₂s (« nez »)\u202f^([1]), qui donne le sanscrit नासा, nā́sā (« nez »), le lituanien nosis, le vieux slave носъ, nosŭ (« nez »), d’où nos en tchèque ; le germanique nasa d’où nose en anglais.', 'Notez l’absence de rhotacisme du radical. Le Dictionnaire étymologique latin l’explique ainsi : « Quant a nasus ou nasum, il est pour *nas-tus, *nas-tum : c’est une sorte de collectif ».'], 'Nez, odorat.']","[{'form': 'nasī', 'tags': ['plural', 'nominative']}, {'form': 'nase', 'tags': ['singular', 'vocative']}, {'form': 'nasī', 'tags': ['plural', 'vocative']}, {'form': 'nasum', 'tags': ['singular', 'accusative']}, {'form': 'nasōs', 'tags': ['plural', 'accusative']}, {'form': 'nasī', 'tags': ['singular', 'genitive']}, {'form': 'nasōrum', 'tags': ['plural', 'genitive']}, {'form': 'nasō', 'tags': ['singular', 'dative']}, {'form': 'nasīs', 'tags': ['plural', 'dative']}, {'form': 'nasō', 'tags': ['singular', 'ablative']}, {'form': 'nasīs', 'tags': ['plural', 'ablative']}, {'form': 'nasum', 'tags': ['archaic']}]","['appendice', 'blair', 'blaire', 'blase', 'blaze', 'nase', 'naze', 'pif', 'reniflant', 'renifloir', 'tarbouif', 'tarin', 'groin', 'mufle', 'museau', 'trompe', 'nasal', 'nasalisation', 'nasaliser', 'naseau', 'enluminé', 'cartilagineuse', 'visage', 'tête', 'corps', 'antinazi', 'antinazisme', 'catarhinien', 'catarrhinien', 'dénasalisation', 'dénasaliser', 'dénazification', 'dénazifier', 'haplorrhinien', 'nasalité', 'naserie', 'nasette', 'nasière', 'nazi', 'nazinette', 'nazisme', 'naziste', 'nazitude', 'nazité', 'nez', 'rhinite', 'semi-nasal', 'Nazinette']",[],['*nas-'],nez,"[['*nas-', 'nez'], ['*néh₂s', 'nez']]",indo-européen,nez,"['appendice', 'blair', 'blaire', 'blase', 'blaze', 'nase', 'naze', 'pif', 'reniflant', 'renifloir', 'tarbouif', 'tarin', 'groin', 'mufle', 'museau', 'trompe', 'nasal', 'nasalisation', 'nasaliser', 'naseau', 'enluminé', 'cartilagineuse', 'visage', 'tête', 'corps', 'antinazi', 'antinazisme', 'catarhinien', 'catarrhinien', 'dénasalisation', 'dénasaliser', 'dénazification', 'dénazifier', 'haplorrhinien', 'nasalité', 'naserie', 'nasette', 'nasière', 'nazi', 'nazinette', 'nazisme', 'naziste', 'nazitude', 'nazité', 'nez', 'rhinite', 'semi-nasal', 'Nazinette']"
antifébrile,Nom commun,['Remède contre les fièvres.'],"['Composé de anti-, fébrile et fièvre.']","[['Lexicalisation du préfixe anti-, du grec ancien ἀντί, antí (« au lieu de, en comparaison de, contre »). Existe aussi en sanskrit avec un sens similaire.'], ['Lexicalisation du préfixe anti-, du grec ancien ἀντί, antí (« au lieu de, en comparaison de, contre »). Existe aussi en sanskrit avec un sens similaire.'], ['De l’indo-européen commun *h₂ént-i, qui a aussi donné le latin ante, le sanskrit अन्ति, ánti.'], 'En face de.']",[],"['antifébrile', 'antipyrétique', 'enfièvrement', 'enfiévrer', 'enfiévré', 'fièvre', 'fiévrette', 'fiévreux', 'fébrile', 'fébriliser', 'fébrilité', 'pyrétique']",['Composé'],"['anti-', 'fébrile', 'fébril-']",antifébrile,"[['grec ancien', 'au lieu de, en comparaison de, contre'], ['grec ancien', 'au lieu de, en comparaison de, contre'], ['indo-européen commun', 'en face de'], ['sanskrit', 'en face de']]",grec ancien,antifébrile,"['antipyrétique', 'enfièvrement', 'enfiévrer', 'enfiévré', 'fièvre', 'fiévrette', 'fiévreux', 'fébrile', 'fébriliser', 'fébrilité', 'pyrétique']"
feu,Nom commun,"[""Phénomène calorifique et lumineux produit par la combustion d'une matière inflammable ; un des quatre éléments des Anciens.""]","[""Du moyen français feu, de l’ancien français fou (IXᵉ siècle), fu, foc, du bas latin feu, du latin fŏcus (« foyer, âtre, feu de la maison »), qui a supplanté le latin classique ignis à l’époque impériale. Feu est cognat de l’italien fuoco, de l’espagnol fuego, du portugais fogo, du catalan fog ; mais sans rapport avec l'allemand Feuer qui viendrait directement du grec « πῦρ »."", ""Note : en proto-indo-européen commun, il semble qu'il y ait eu deux mots pour le feu, selon les hypothèses de reconstitution. Le premier *h₁n̥gʷnis a donné des mots comme ignis en latin et agni (अग्नि) en sanskrit, et désigne le feu en tant qu'élément animé et actif, comme une entité : ainsi dans des expressions comme « dieu du feu » (Agni est le dieu hindou du feu), ou « esprit du feu », « le feu de la haine fait encore rage dans son âme ».\nLe second *péh₂wr a donné des mots comme fŏcus en latin, fire en anglais, πῦρ en grec ou pir en ombrien, et en français : feu. Cette seconde racine fait référence au feu comme une substance inanimée et envisagée comme un outil (ainsi dans « allumer le deuxième feu de la gazinière pour cuire les légumes »).\nAujourd'hui la plupart des langues indo-européennes semblent n'utiliser qu'un seul mot pour désigner ce substantif, issu soit de la première origine, soit de la seconde.\nLe français possède deux familles de mots issues respectivement de chacune de ces deux origines : de la première viennent des mots comme igné, ignifuge, ignition, ignivome, ignivore, ignicole. De la seconde viennent des mots comme feu ou foyer (lui-même dérivé du latin focarium : « fourneau de cuisine » qui avait remplacé focus) ; ainsi que les mots renvoyant à l'idée de foyer d'ellipse ou de lentille optique (rassemblant et diffusant un rayonnement) qui comportent l'élément foc- tiré de focus, comme focal. Focus a aussi donné fusil par l'intermédiaire de *focilis, « pierre à feu »."", '(Adjectif 1) Dérivé du nom commun. référence nécessaire (résoudre le problème)']","[['De l’indo-européen commun *bhok- (« brûler »), qui donne aussi l’arménien բոց, bocʿ (« flamme »), mot apparenté par Varron à foveo (« chauffer ») voir favilla (« produit du feu : cendre, étincelle ») ou encore à fax (« flambeau »).'], 'Foyer, feu, fourneau, âtre, cheminée, réchaud.']","[{'form': 'focī', 'tags': ['plural', 'nominative']}, {'form': 'foce', 'tags': ['singular', 'vocative']}, {'form': 'focī', 'tags': ['plural', 'vocative']}, {'form': 'focum', 'tags': ['singular', 'accusative']}, {'form': 'focōs', 'tags': ['plural', 'accusative']}, {'form': 'focī', 'tags': ['singular', 'genitive']}, {'form': 'focōrum', 'tags': ['plural', 'genitive']}, {'form': 'focō', 'tags': ['singular', 'dative']}, {'form': 'focīs', 'tags': ['plural', 'dative']}, {'form': 'focō', 'tags': ['singular', 'ablative']}, {'form': 'focīs', 'tags': ['plural', 'ablative']}]","['antifeu', 'boutefeu', 'monofeu', 'calcination', 'consomption', 'crémation', 'ignition', 'incandescence', 'flammes', 'foyer', 'incendie', 'allumette', 'bic', 'briquet', 'Dieu', 'divinité', 'cuisinière', 'four', 'gazinière', 'poêle', 'plaques', 'réchaud', 'âtre', 'crématoire', 'cheminée', 'pyrée', 'maison', 'éclairage', 'lumière', 'spot', 'sémaphore', 'phare', 'éclat', 'scintillement', 'splendeur', 'fire', 'amour', 'folie', 'pistolet', 'pétard', 'début', 'départ', 'start', '🔥', '🚥', '🚦', 'carburant', 'combustible', 'extincteur', 'igné', 'afféage', 'afféagement', 'afféager', 'bifocal', 'bifocalité', 'défocalisation', 'défocaliser', 'feu', 'feutier', 'focal', 'focalisable', 'focalisation', 'focaliser', 'focaliseur', 'focalité']",['Nom commun'],['bhok-'],feu,"[['bhok-', 'brûler'], ['foc-', 'foyer'], ['foc-', 'feu'], ['foc-', 'fourneau'], ['foc-', 'âtre'], ['foc-', 'cheminée'], ['foc-', 'réchaud'], ['foc-', 'âtre'], ['foc-', 'crématoire'], ['foc-', 'cheminée'], ['foc-', 'pyrée'], ['foc-', 'maison'], ['foc-', 'éclairage'], ['foc-', 'lumière'], ['foc-', 'spot'], ['foc-', 'sémaphore'], ['foc-', 'phare'], ['foc-', 'éclat'], ['foc-', 'scintillement'], ['foc-', 'splendeur'], ['foc-', 'fire'], ['foc-', 'amour'], ['foc-', 'folie'], ['foc-', 'pistolet'], ['foc-', 'pétard'], ['foc-', 'début'], ['foc-', 'départ'], ['foc-', 'start'], ['foc-', '🔥'], ['foc-', '🚥'], ['foc-', '🚦'], ['foc-', 'carburant'], ['foc-', 'combustible'], ['foc-', 'extincteur'], ['foc-', 'igné'], ['foc-', 'afféage'], ['foc-', 'afféagement'], ['foc-', 'afféager'], ['foc-', 'bifocal'], ['foc-', 'bifocalité'], ['foc-', 'défocalisation'], ['foc-', 'défocaliser'], ['foc-', 'feu'], ['foc-', 'feutier'], ['foc-', 'focal'], ['foc-', 'focalisable'], ['foc-', 'focalisation'], ['foc-', 'focaliser'], ['foc-', 'focaliseur'], ['foc-', 'focalité']]",indo-européen commun,feu,"['antifeu', 'boutefeu', 'monofeu', 'calcination', 'consomption', 'crémation', 'ignition', 'incandescence', 'flammes', 'foyer', 'incendie', 'allumette', 'bic', 'briquet', 'Dieu', 'divinité', 'cuisinière', 'four', 'gazinière', 'poêle', 'plaques', 'réchaud', 'âtre', 'crématoire', 'cheminée', 'pyrée', 'maison', 'éclairage', 'lumière', 'spot', 'sémaphore', 'phare', 'éclat', 'scintillement', 'splendeur', 'fire', 'amour', 'folie', 'pistolet', 'pétard', 'début', 'départ', 'start', '🔥', '🚥', '🚦', 'carburant', 'combustible', 'extincteur', 'igné', 'afféage', 'afféagement', 'afféager', 'bifocal', 'bifocalité', 'défocalisation', 'défocaliser', 'feu', 'feutier', 'focal', 'focalisable', 'focalisation', 'focaliser', 'focaliseur', 'focalité']"
viaire,Adjectif,['Se dit de ce qui a trait à la voie publique.'],"['et (nom commun 1) Du latin via, avec le suffixe -aire.']","[['Les formes archaïques de ce mot, vea ou veha sont à rattacher à veho.'], 'Chemin, route, voie, rue.']","[{'form': 'viă', 'tags': ['singular', 'nominative']}, {'form': 'viae', 'tags': ['plural', 'nominative']}, {'form': 'viă', 'tags': ['singular', 'vocative']}, {'form': 'viae', 'tags': ['plural', 'vocative']}, {'form': 'viăm', 'tags': ['singular', 'accusative']}, {'form': 'viās', 'tags': ['plural', 'accusative']}, {'form': 'viae', 'tags': ['singular', 'genitive']}, {'form': 'viārŭm', 'tags': ['plural', 'genitive']}, {'form': 'viae', 'tags': ['singular', 'dative']}, {'form': 'viīs', 'tags': ['plural', 'dative']}, {'form': 'viā', 'tags': ['singular', 'ablative']}, {'form': 'viīs', 'tags': ['plural', 'ablative']}]","['biviaire', 'dévoiement', 'dévoyer', 'dévoyé', 'envoi', 'envoyer', 'envoyeur', 'envoyeuse', 'renvoi', 'renvoyer', 'renvoyette', 'renvoyeur', 'renvoyeuse', 'viaire', 'voie', 'voyer', 'voyette', 'émissaire']",[],['et'],via,"[['et', 'voie publique'], ['veho', 'chemin, route, voie, rue']]",latin,via,"['biviaire', 'dévoiement', 'dévoyer', 'dévoyé', 'envoi', 'envoyer', 'envoyeur', 'envoyeuse', 'renvoi', 'renvoyer', 'renvoyette', 'renvoyeur', 'renvoyeuse', 'voie', 'voyer', 'voyette', 'émissaire']"
jour,Nom commun,"['Période de vingt-quatre heures, commençant généralement à minuit ; en certains lieux et à certaines époques, le jour commençait plutôt avec le lever ou le coucher du soleil.']","['Du moyen français jour, de l’ancien français jor, jorn , du latin diŭrnus (→ voir diurne), adjectif devenu substantif en bas latin de Gaule et d’Italie (en italien, giorno), où il a éliminé le classique dies, maintenu en Ibérie et Dacie (→ voir l’espagnol día, le gascon dia, le portugais dia et le roumain zi). Cognat du corse ghjornu \\ˈdjɔr.nu\\.']","[['Dérivé de dies (« jour »), avec le suffixe -urnus qui est aussi dans nocturnus.'], [""Dérivation régressive de l’accusatif diem, de l’indo-européen commun *dyew (« briller, soleil, jour, dieu »), qui l’apparente à deus (« dieu »), divum (« ciel, plein air »), dives (« riche »), divus (« divin »), mais aussi au grec ancien Ζεύς, Zeús et à l'albanais diell (« soleil »).""], 'Jour civil, journée de vingt-quatre heure.']","[{'form': 'dĭēs', 'tags': ['singular', 'nominative']}, {'form': 'dĭēs', 'tags': ['plural', 'nominative']}, {'form': 'dĭēs', 'tags': ['singular', 'vocative']}, {'form': 'dĭēs', 'tags': ['plural', 'vocative']}, {'form': 'dĭem', 'tags': ['singular', 'accusative']}, {'form': 'dĭēs', 'tags': ['plural', 'accusative']}, {'form': 'dĭeī', 'tags': ['singular', 'genitive']}, {'form': 'dĭērum', 'tags': ['plural', 'genitive']}, {'form': 'dĭeī', 'tags': ['singular', 'dative']}, {'form': 'dĭēbus', 'tags': ['plural', 'dative']}, {'form': 'dĭē', 'tags': ['singular', 'ablative']}, {'form': 'dĭēbus', 'tags': ['plural', 'ablative']}]","['ajour', 'ajourer', 'ajournement', 'ajourner', 'aujourd’hui', 'bonjour', 'contrejour', 'déjour', 'jourd’hui', 'jourd’huy', 'journal', 'journaleux', 'journalier', 'journaliser', 'journalisme', 'journaliste', 'journalistique', 'journau', 'journée', 'journel', 'journellement', 'journoyer', 'réajourner', 'séjour', 'séjournement', 'séjourner', 'toujours', 'diurne', 'quotidien', 'nuit', 'fond', 'mois', 'semaine', 'weekend', 'biquotidien', 'diaire', 'jour', 'quotidiennat', 'quotidiennerie', 'quotidienneté']",['Dérivation régressive'],"['dies', 'dieu', 'briller', 'soleil', 'dieux', 'Zeus', 'albanais']",dies,"[['dies', 'jour'], ['dieu', 'dieus', 'dieu'], ['briller', 'soleil', 'briller'], ['Zeus', 'Zeus', 'dieu'], ['albanais', 'diell', 'soleil']]",latin,dies,"['ajour', 'ajourer', 'ajournement', 'ajourner', 'aujourd’hui', 'bonjour', 'contrejour', 'déjour', 'jourd’hui', 'jourd’huy', 'journal', 'journaleux', 'journalier', 'journaliser', 'journalisme', 'journaliste', 'journalistique', 'journau', 'journée', 'journel', 'journellement', 'journoyer', 'réajourner', 'séjour', 'séjournement', 'séjourner', 'toujours', 'diurne', 'quotidien', 'nuit', 'fond', 'mois', 'semaine', 'weekend', 'biquotidien', 'diaire', 'jour', 'quotidiennat', 'quotidiennerie', 'quotidienneté']"
évier,Nom commun,"['Table en céramique, en métal ou en pierre, comportant un bassin creusé dans lequel on lave la vaisselle, et qui a un trou pour l’écoulement des eaux.']","['euwier. Eve est une variante du XIᵉ siècle de eau, à rapprocher avec son équivalent poitevin-saintongeais ève/aeve ou wallon aiwî. Évier désigne le récipient qui contient l’eau, comme aiguière dont il est le doublet naturel (voir aigue). Il provient sans doute du latin aquarium ou même du latin aquarius qui aurait pu devenir un adjectif en lieu et place de latin aquatique.']","[['substantivation de l’adjectif aquarius.Dérivé de aqua, avec le suffixe -arium.'], ['substantivation de l’adjectif aquarius.Dérivé de aqua, avec le suffixe -arium.'], ['De l’indo-européen commun *akʷā (« eau »)\u202f^([1]), radical auquel se rattache aquila (« aigle »), aquilo (« aquilon »), les diverses rivières germaniques Ache. Le radical *akʷā dérive de celui qui donne unda (voir ce mot).'], 'Eau, eau de pluie, pluie.']","[{'form': 'aquă', 'tags': ['singular', 'nominative']}, {'form': 'aquae', 'tags': ['plural', 'nominative']}, {'form': 'aquă', 'tags': ['singular', 'vocative']}, {'form': 'aquae', 'tags': ['plural', 'vocative']}, {'form': 'aquăm', 'tags': ['singular', 'accusative']}, {'form': 'aquās', 'tags': ['plural', 'accusative']}, {'form': 'aquae', 'tags': ['singular', 'genitive']}, {'form': 'aquārŭm', 'tags': ['plural', 'genitive']}, {'form': 'aquae', 'tags': ['singular', 'dative']}, {'form': 'aquīs', 'tags': ['plural', 'dative']}, {'form': 'aquā', 'tags': ['singular', 'ablative']}, {'form': 'aquīs', 'tags': ['plural', 'ablative']}]","['sink', 'lavabo', 'aquarien', 'aquette', 'aqueux', 'aquosité', 'déshydratation', 'déshydrater', 'déshydraté', 'eau', 'eautette', 'hydatisme', 'hydraire', 'hydratable', 'hydratant', 'hydratation', 'hydrater', 'hydrateur', 'hydrolien', 'monohydraté', 'réhydratation', 'réhydrater', 'évier', 'aigaire', 'aiguière']",['substantivation'],"['aquarium', 'aquarius']",akʷā,"[['aqua', 'eau'], ['aqua', 'eau de pluie, pluie'], ['aquila', 'aigle'], ['aquilo', 'aquilon'], ['Ache', 'rivières germaniques'], ['und', 'eau']]",latin,eau,"['sink', 'lavabo', 'aquarien', 'aquette', 'aqueux', 'aquosité', 'déshydratation', 'déshydrater', 'déshydraté', 'eau', 'eautette', 'hydatisme', 'hydraire', 'hydratable', 'hydratant', 'hydratation', 'hydrater', 'hydrateur', 'hydrolien', 'monohydraté', 'réhydratation', 'réhydrater', 'évier', 'aigaire', 'aiguière']"
